object_id,camera_id,evaluation_caption
BigBottle,PC5,one full opaque closed cylindrical plastic bottle with a twist finish and screw closure
BigBottle,PC7,one full opaque open cylindrical plastic bottle with a snap finish and no closure
BigBottle,PC8,one full opaque closed cylindrical plastic bottle with a snap finish and snap closure
BigBottle,PC9,one full transparent open cylindrical plastic bottle with a twist finish and no closure
Bottle,PC5,one full opaque closed cylindrical plastic bottle with a twist finish and screw closure
Bottle,PC7,one full opaque closed cylindrical plastic bottle with a twist finish and screw closure
Bottle,PC8,one full opaque closed cylindrical plastic bottle with a twist finish and screw closure
Bottle,PC9,one full opaque closed cylindrical plastic bottle with a twist finish and screw closure
BrandyBottle,PC5,one full opaque closed cylindrical glass bottle with a snap finish and cork closure
BrandyBottle,PC7,one empty opaque open cylindrical glass bottle with a snap finish and no closure
BrandyBottle,PC8,one empty translucent open cylindrical glass bottle with a snap finish and no closure
BrandyBottle,PC9,one empty translucent open cylindrical glass bottle with a snap finish and no closure
CeramicBottle,PC5,one full opaque closed cylindrical plastic bottle with a twist finish and screw closure
CeramicBottle,PC7,one full opaque closed cylindrical plastic bottle with a twist finish and screw closure
CeramicBottle,PC8,one full opaque closed cylindrical plastic bottle with a twist finish and screw closure
CeramicBottle,PC9,one full opaque closed cylindrical plastic bottle with a twist finish and screw closure
CorkGlassBottle1,PC5,one full transparent closed cylindrical plastic bottle with a snap finish and snap closure
CorkGlassBottle1,PC7,one empty translucent open cylindrical plastic bottle with a snap finish and no closure
CorkGlassBottle1,PC8,one empty translucent open cylindrical plastic container with a snap finish and no closure
CorkGlassBottle1,PC9,one empty transparent open cylindrical plastic bottle with a snap finish and no closure
CorkGlassBottle2,PC5,one full transparent open cylindrical plastic bottle with a snap finish and no closure
CorkGlassBottle2,PC7,one full transparent closed cylindrical plastic bottle with a snap finish and snap closure
CorkGlassBottle2,PC8,one full transparent closed cylindrical plastic container with a snap finish and snap closure
CorkGlassBottle2,PC9,one full transparent closed cylindrical plastic bottle with a snap finish and snap closure
CorkGlassBottle3,PC5,one full transparent closed rectangular plastic container with a snap finish and snap closure
CorkGlassBottle3,PC7,one full transparent open cylindrical plastic container with a snap finish and no closure
CorkGlassBottle3,PC8,one empty translucent open cylindrical plastic container with a snap finish and no closure
CorkGlassBottle3,PC9,one full transparent open cylindrical plastic bottle with a snap finish and no closure
CorkGlassBottle4,PC5,one full transparent closed cylindrical plastic bottle with a snap finish and snap closure
CorkGlassBottle4,PC7,one full transparent open rectangular plastic bottle with a twist finish and no closure
CorkGlassBottle4,PC8,one full transparent closed cylindrical plastic bottle with a snap finish and flip - top closure
CorkGlassBottle4,PC9,one full opaque open rectangular plastic bottle with a snap finish and no closure
CorkGlassBottle5,PC5,one full transparent open oval glass bottle with a snap finish and no closure
CorkGlassBottle5,PC7,one full transparent closed oval plastic bottle with a snap finish and snap closure
CorkGlassBottle5,PC8,one full transparent closed cylindrical plastic bottle with a twist finish and screw closure
CorkGlassBottle5,PC9,one full transparent open cylindrical plastic bottle with a snap finish and no closure
CystalJar,PC5,one full transparent closed cylindrical glass bottle with a twist finish and screw closure
CystalJar,PC7,one full transparent closed cylindrical plastic bottle with a twist finish and screw closure
CystalJar,PC8,one full transparent open cylindrical plastic bottle with a snap finish and no closure
CystalJar,PC9,one full transparent open cylindrical plastic bottle with a twist finish and no closure
DarkBottle,PC5,one empty translucent open cylindrical glass bottle with a snap finish and no closure
DarkBottle,PC7,one empty translucent open cylindrical glass bottle with a snap finish and no closure
DarkBottle,PC8,one empty translucent open cylindrical glass bottle with a snap finish and no closure
DarkBottle,PC9,one empty translucent open cylindrical glass bottle with a snap finish and no closure
EmptyJar,PC5,one full transparent closed cylindrical plastic bottle with a twist finish and screw closure
EmptyJar,PC7,one empty transparent closed cylindrical plastic bottle with a twist finish and screw closure
EmptyJar,PC8,one empty transparent closed cylindrical plastic bottle with a twist finish and screw closure
EmptyJar,PC9,one full transparent closed cylindrical plastic bottle with a twist finish and screw closure
FairyBottle,PC5,one full transparent closed cylindrical plastic bottle with a snap finish and snap closure
FairyBottle,PC7,one full transparent open cylindrical plastic bottle with a snap finish and no closure
FairyBottle,PC8,one full transparent open cylindrical plastic bottle with a snap finish and no closure
FairyBottle,PC9,one full transparent closed cylindrical plastic bottle with a twist finish and screw closure
GlassBottle,PC5,one empty transparent open cylindrical plastic bottle with a twist finish and no closure
GlassBottle,PC7,one empty transparent open cylindrical plastic bottle with a snap finish and no closure
GlassBottle,PC8,one empty translucent open cylindrical plastic bottle with a twist finish and no closure
GlassBottle,PC9,one empty translucent open cylindrical plastic bottle with a twist finish and no closure
GlassJar,PC5,one full transparent closed cylindrical plastic bottle with a twist finish and screw closure
GlassJar,PC7,one empty transparent closed cylindrical plastic bottle with a twist finish and screw closure
GlassJar,PC8,one empty transparent closed cylindrical plastic bottle with a twist finish and screw closure
GlassJar,PC9,one empty transparent closed cylindrical plastic bottle with a twist finish and screw closure
HeartGlassJar,PC5,one full opaque closed oval plastic bottle with a twist finish and screw closure
HeartGlassJar,PC7,one full transparent closed cylindrical plastic bottle with a twist finish and screw closure
HeartGlassJar,PC8,one full transparent closed oval plastic bottle with a twist finish and screw closure
HeartGlassJar,PC9,one full transparent closed cylindrical plastic bottle with a twist finish and screw closure
LiquorBottle,PC5,one full opaque closed cylindrical plastic bottle with a snap finish and snap closure
LiquorBottle,PC7,one empty translucent open cylindrical glass bottle with a snap finish and no closure
LiquorBottle,PC8,one empty translucent open cylindrical plastic bottle with a snap finish and no closure
LiquorBottle,PC9,one empty translucent open cylindrical glass bottle with a snap finish and no closure
PerfumeBottle,PC5,one full opaque closed cylindrical plastic bottle with a twist finish and screw closure
