object_id,camera_id,evaluation_caption
BigBottle,PC1,one full transparent closed cylindrical plastic bottle with a twist finish and screw closure
BigBottle,PC2,one full transparent closed cylindrical glass bottle with a twist finish and screw closure
BigBottle,PC3,one full transparent closed cylindrical plastic bottle with a twist finish and screw closure
BigBottle,PC4,one full transparent closed cylindrical plastic bottle with a twist finish and screw closure
BigBottle,PC5,one full opaque closed cylindrical plastic bottle with a twist finish and screw closure
BigBottle,PC6,one full transparent closed cylindrical plastic bottle with a twist finish and screw closure
BigBottle,PC7,one full opaque open cylindrical plastic bottle with a snap finish and no closure
BigBottle,PC8,one full opaque closed cylindrical plastic bottle with a snap finish and snap closure
BigBottle,PC9,one full transparent open cylindrical plastic bottle with a twist finish and no closure
Bottle,PC1,one full opaque closed cylindrical plastic bottle with a twist finish and screw closure
Bottle,PC2,one full opaque closed cylindrical plastic bottle with a twist finish and screw closure
Bottle,PC3,one full opaque closed cylindrical plastic bottle with a twist finish and screw closure
Bottle,PC4,one full opaque closed cylindrical plastic bottle with a twist finish and screw closure
Bottle,PC5,one full opaque closed cylindrical plastic bottle with a twist finish and screw closure
Bottle,PC6,one full opaque closed cylindrical plastic bottle with a twist finish and screw closure
Bottle,PC7,one full opaque closed cylindrical plastic bottle with a twist finish and screw closure
Bottle,PC8,one full opaque closed cylindrical plastic bottle with a twist finish and screw closure
Bottle,PC9,one full opaque closed cylindrical plastic bottle with a twist finish and screw closure
BrandyBottle,PC1,one full opaque closed cylindrical plastic bottle with a twist finish and screw closure
BrandyBottle,PC2,one full opaque closed cylindrical plastic bottle with a twist finish and screw closure
BrandyBottle,PC3,one full opaque closed cylindrical plastic bottle with a twist finish and screw closure
BrandyBottle,PC4,one full opaque open cylindrical plastic bottle with a snap finish and no closure
BrandyBottle,PC5,one full opaque closed cylindrical glass bottle with a snap finish and cork closure
BrandyBottle,PC6,one full opaque closed cylindrical glass bottle with a snap finish and cork closure
BrandyBottle,PC7,one empty opaque open cylindrical glass bottle with a snap finish and no closure
BrandyBottle,PC8,one empty translucent open cylindrical glass bottle with a snap finish and no closure
BrandyBottle,PC9,one empty translucent open cylindrical glass bottle with a snap finish and no closure
CeramicBottle,PC1,one full opaque closed cylindrical plastic bottle with a twist finish and screw closure
CeramicBottle,PC2,one full opaque closed cylindrical plastic bottle with a twist finish and screw closure
CeramicBottle,PC3,one full opaque closed cylindrical plastic bottle with a twist finish and screw closure
CeramicBottle,PC4,one full opaque closed cylindrical plastic bottle with a twist finish and screw closure
CeramicBottle,PC5,one full opaque closed cylindrical plastic bottle with a twist finish and screw closure
CeramicBottle,PC6,one full opaque closed cylindrical plastic bottle with a twist finish and screw closure
CeramicBottle,PC7,one full opaque closed cylindrical plastic bottle with a twist finish and screw closure
CeramicBottle,PC8,one full opaque closed cylindrical plastic bottle with a twist finish and screw closure
