object_id,camera_id,evaluation_caption
CorkGlassBottle2,PC1,one full transparent closed cylindrical plastic bottle with a twist finish and screw closure
CorkGlassBottle2,PC2,one full transparent closed cylindrical glass bottle with a twist finish and screw closure
CorkGlassBottle2,PC3,one full opaque closed rectangular plastic bottle with a twist finish and screw closure
CorkGlassBottle2,PC4,one full transparent closed cylindrical plastic bottle with a twist finish and screw closure
CorkGlassBottle2,PC5,one full transparent closed cylindrical plastic bottle with a twist finish and screw closure
CorkGlassBottle2,PC6,one full transparent closed cylindrical plastic bottle with a twist finish and screw closure
CorkGlassBottle2,PC7,one full transparent closed cylindrical plastic bottle with a snap finish and snap closure
CorkGlassBottle2,PC8,one full transparent closed rectangular plastic container with a snap finish and snap closure
CorkGlassBottle2,PC9,one full transparent closed rectangular plastic bottle with a snap finish and snap closure
CorkGlassBottle2,PC1,one full opaque closed cylindrical plastic bottle with a twist finish and screw closure
CorkGlassBottle2,PC2,one full transparent closed cylindrical plastic bottle with a twist finish and screw closure
CorkGlassBottle2,PC3,one full opaque closed cylindrical plastic bottle with a twist finish and screw closure
CorkGlassBottle2,PC4,one full transparent closed cylindrical plastic bottle with a twist finish and screw closure
CorkGlassBottle2,PC5,one full transparent closed cylindrical glass bottle with a twist finish and screw closure
CorkGlassBottle2,PC6,one full opaque closed cylindrical plastic bottle with a twist finish and screw closure
CorkGlassBottle2,PC7,one full transparent closed cylindrical plastic bottle with a snap finish and snap closure
CorkGlassBottle2,PC8,one full transparent closed cylindrical plastic bottle with a snap finish and flip - top closure
CorkGlassBottle2,PC9,one full transparent closed cylindrical plastic bottle with a snap finish and flip - top closure
CorkGlassBottle2,PC1,one full transparent closed cylindrical glass bottle with a twist finish and screw closure
CorkGlassBottle2,PC2,one full transparent closed cylindrical plastic bottle with a twist finish and screw closure
CorkGlassBottle2,PC3,one full opaque closed cylindrical plastic bottle with a twist finish and screw closure
CorkGlassBottle2,PC4,one full transparent closed cylindrical plastic bottle with a twist finish and screw closure
CorkGlassBottle2,PC5,one full transparent closed cylindrical glass bottle with a snap finish and snap closure
CorkGlassBottle2,PC6,one full transparent closed cylindrical plastic bottle with a twist finish and screw closure
CorkGlassBottle2,PC7,one full transparent closed cylindrical plastic bottle with a snap finish and flip - top closure
CorkGlassBottle2,PC8,one full transparent closed cylindrical glass bottle with a snap finish and no closure
CorkGlassBottle2,PC9,one full transparent closed cylindrical plastic bottle with a snap finish and snap closure
CorkGlassBottle2,PC1,one full transparent closed cylindrical glass bottle with a twist finish and screw closure
CorkGlassBottle2,PC2,one full transparent closed cylindrical plastic bottle with a twist finish and screw closure
CorkGlassBottle2,PC3,one full transparent closed cylindrical plastic bottle with a twist finish and screw closure
CorkGlassBottle2,PC4,one full transparent closed cylindrical plastic bottle with a twist finish and screw closure
CorkGlassBottle2,PC5,one full transparent closed cylindrical plastic bottle with a twist finish and screw closure
CorkGlassBottle2,PC6,one full opaque closed cylindrical plastic bottle with a twist finish and screw closure
CorkGlassBottle2,PC7,one full transparent closed cylindrical plastic bottle with a snap finish and flip - top closure
CorkGlassBottle2,PC8,one full transparent open cylindrical plastic bottle with a snap finish and no closure
CorkGlassBottle2,PC9,one full transparent closed cylindrical plastic bottle with a snap finish and flip - top closure
CorkGlassBottle2,PC1,one full transparent closed cylindrical glass bottle with a twist finish and screw closure
CorkGlassBottle2,PC2,one full transparent closed cylindrical plastic bottle with a twist finish and screw closure
CorkGlassBottle2,PC3,one full opaque closed cylindrical plastic bottle with a twist finish and screw closure
CorkGlassBottle2,PC4,one full transparent closed cylindrical plastic bottle with a twist finish and screw closure
CorkGlassBottle2,PC5,one full transparent closed cylindrical glass bottle with a twist finish and screw closure
CorkGlassBottle2,PC6,one full transparent closed cylindrical plastic bottle with a twist finish and screw closure
CorkGlassBottle2,PC7,one full transparent closed cylindrical plastic bottle with a snap finish and snap closure
CorkGlassBottle2,PC8,one full transparent closed cylindrical glass bottle with a snap finish and snap closure
CorkGlassBottle2,PC9,one full transparent closed cylindrical plastic bottle with a snap finish and snap closure
CorkGlassBottle2,PC1,one full transparent closed cylindrical glass bottle with a twist finish and screw closure
