,file_name,caption,evaluation
0,1.jpg,one empty transparent closed cylindrical glass jar with a twist finish and screw closure,one empty transparent closed cylindrical glass jar with a twist finish and screw closure
1,2.jpg,one empty transparent closed cylindrical glass bottle with a twist finish and screw closure,one empty transparent closed cylindrical glass bottle with a twist finish and screw closure
2,3.jpg,one empty translucent open cylindrical glass bottle with a snap finish and no closure,one empty translucent open cylindrical glass bottle with a snap finish and no closure
3,4.jpg,one empty transparent closed cylindrical glass jar with a twist finish and screw closure,one empty transparent closed cylindrical glass jar with a twist finish and screw closure
4,5.jpg,one empty transparent closed cylindrical glass jar with a twist finish and screw closure,one empty transparent closed cylindrical glass bottle with a twist finish and screw closure
5,6.jpg,one empty transparent closed cylindrical glass bottle with a snap finish and snap closure,one empty transparent open cylindrical glass bottle with a snap finish and no closure
6,7.jpg,one empty transparent closed cylindrical glass bottle with a twist finish and screw closure,one empty transparent closed cylindrical glass bottle with a twist finish and screw closure
7,8.jpg,one empty transparent closed cylindrical glass jar with a twist finish and screw closure,one empty transparent closed cylindrical glass jar with a twist finish and screw closure
8,9.jpg,several empty transparent open cylindrical glass bottle with a snap finish and no closure,several empty transparent open cylindrical glass bottle with a twist finish and no closure
9,10.jpg,several empty transparent closed cylindrical glass jar with a snap finish and snap closure,several empty transparent closed cylindrical glass jar with a snap finish and screw closure
10,11.jpg,several full transparent closed cylindrical glass jar with a swing-top finish and swing-top closure,several full transparent closed cylindrical glass jar with a swing-top finish and swing-top closure
11,12.jpg,one empty transparent closed cylindrical glass bottle with a snap finish and snap closure,one empty transparent closed cylindrical glass bottle with a twist finish and screw closure
12,13.jpg,several empty transparent closed cylindrical glass jar with a twist finish and screw closure,several empty transparent closed cylindrical glass jar with a twist finish and screw closure
13,14.jpg,several empty translucent closed cylindrical plastic bottle with a snap finish and snap closure,several empty translucent closed cylindrical plastic bottle with a twist finish and screw closure
14,15.jpg,one full transparent closed cylindrical plastic bottle with a twist finish and screw closure,one empty transparent closed cylindrical plastic bottle with a twist finish and screw closure
15,16.jpg,one empty transparent open cylindrical plastic bottle with a twist finish and no closure,one empty transparent open cylindrical plastic bottle with a twist finish and no closure
16,17.jpg,one empty transparent closed cylindrical plastic bottle with a twist finish and screw closure,one empty transparent closed cylindrical plastic bottle with a twist finish and screw closure
17,18.jpg,one full translucent closed cylindrical plastic bottle with a twist finish and screw closure,one full opaque closed cylindrical plastic bottle with a twist finish and screw closure
18,19.jpg,one empty transparent closed rectangular plastic bottle with a twist finish handle and screw closure,one empty transparent closed cylindrical plastic bottle with a twist finish and screw closure
19,20.jpg,one full opaque closed cylindrical plastic bottle with a twist finish handle and screw closure,one full opaque closed cylindrical plastic bottle with a twist finish and flip-top closure
20,21.jpg,one full transparent closed cylindrical plastic bottle with a twist finish and screw closure,one full transparent closed cylindrical plastic bottle with a twist finish and screw closure
21,22.jpg,one empty transparent closed cylindrical plastic bottle with a twist finish and screw closure,one empty transparent closed cylindrical plastic bottle with a twist finish and screw closure
22,23.jpg,one full opaque closed cylindrical metal bottle with a twist finish handle and screw closure,"one full opaque closed cylindrical metal bottle with a snap finish, handle and flip-top closure"
23,24.jpg,one full opaque open cylindrical plastic bottle with a twist finish and no closure,one full opaque open cylindrical plastic bottle with a twist finish and no closure
24,25.jpg,one empty translucent closed cylindrical plastic bottle with a twist finish handle and screw closure,one full translucent closed cylindrical plastic bottle with a twist finish and flip-top closure
25,26.jpg,one empty transparent closed rectangular plastic bottle with a twist finish and screw closure,one empty transparent closed cylindrical plastic bottle with a twist finish and screw closure
26,27.jpg,one empty transparent closed cylindrical plastic bottle with a twist finish and screw closure,one empty transparent closed cylindrical plastic bottle with a twist finish and screw closure
27,28.jpg,one empty transparent open cylindrical plastic bottle with a twist finish and no closure,one empty transparent open cylindrical plastic bottle with a twist finish and no closure
28,29.jpg,one empty transparent closed cylindrical plastic bottle with a twist finish and screw closure,one empty transparent closed cylindrical plastic bottle with a twist finish and screw closure
29,30.jpg,one full opaque open rectangular plastic bottle with a twist finish and no closure,one full opaque open cylindrical plastic bottle with a twist finish and no closure
30,31.jpg,two full transparent closed cylindrical plastic bottle with a twist finish and screw closure,two full transparent closed cylindrical plastic bottle with a twist finish and screw closure
31,32.jpg,one empty transparent open cylindrical plastic bottle with a twist finish and no closure,one empty transparent open cylindrical plastic bottle with a twist finish and no closure
32,33.jpg,one empty transparent closed cylindrical plastic bottle with a twist finish and screw closure,one full transparent closed cylindrical glass bottle with a twist finish and screw closure
33,34.jpg,one full translucent closed cylindrical plastic bottle with a twist finish and screw closure,one full opaque closed cylindrical plastic bottle with a twist finish and screw closure
34,35.jpg,one full opaque closed cylindrical plastic bottle with a twist finish and trigger closure,one full opaque closed cylindrical plastic bottle with a twist finish and trigger closure
35,36.jpg,one full transparent closed cylindrical plastic bottle with a twist finish and screw closure,one full transparent closed cylindrical plastic bottle with a twist finish and screw closure
36,37.jpg,one full transparent closed cylindrical plastic bottle with a twist finish and screw closure,one empty transparent closed cylindrical plastic bottle with a twist finish and screw closure
37,38.jpg,one full transparent closed cylindrical plastic bottle with a twist finish and screw closure,one full transparent closed cylindrical plastic bottle with a twist finish and screw closure
38,39.jpg,one empty transparent closed cylindrical plastic bottle with a twist finish and screw closure,one empty transparent closed cylindrical plastic bottle with a twist finish and screw closure
39,40.jpg,one empty transparent closed cylindrical plastic bottle with a twist finish and screw closure,one empty transparent closed cylindrical plastic bottle with a twist finish and screw closure
40,41.jpg,one empty transparent open cylindrical plastic bottle with a twist finish and no closure,one empty transparent open cylindrical plastic bottle with a twist finish and no closure
41,42.jpg,two full opaque closed cylindrical plastic bottle with a twist finish and screw closure,two empty transparent closed cylindrical plastic bottle with a twist finish and screw closure
42,43.jpg,one full opaque closed cylindrical metal bottle with a twist finish and screw closure,one empty translucent closed cylindrical plastic bottle with a twist finish and screw closure
43,44.jpg,one empty transparent closed cylindrical plastic bottle with a twist finish and screw closure,one empty transparent closed cylindrical plastic bottle with a twist finish and screw closure
44,45.jpg,one full opaque closed cylindrical plastic bottle with a twist finish and screw closure,one full opaque open cylindrical plastic bottle with a twist finish and no closure
45,46.jpg,two full transparent closed cylindrical plastic bottle with a twist finish and screw closure,several full transparent closed cylindrical plastic bottle with a twist finish and screw closure
46,47.jpg,one full transparent closed cylindrical plastic bottle with a twist finish and screw closure,one empty transparent closed cylindrical plastic bottle with a twist finish and screw closure
47,48.jpg,one empty transparent closed cylindrical plastic bottle with a twist finish and screw closure,one full transparent closed cylindrical plastic bottle with a twist finish and screw closure
48,49.jpg,one empty transparent closed cylindrical plastic bottle with a twist finish and screw closure,one empty transparent closed cylindrical plastic bottle with a twist finish and screw closure
49,50.jpg,one full opaque closed cylindrical plastic bottle with a twist finish and screw closure,one full transparent closed cylindrical plastic bottle with a twist finish and screw closure
50,51.jpg,one empty translucent closed cylindrical plastic bottle with a twist finish and screw closure,one full translucent closed cylindrical plastic bottle with a twist finish and screw closure
51,52.jpg,one full opaque closed cylindrical plastic bottle with a twist finish and screw closure,one full opaque closed cylindrical plastic bottle with a twist finish and screw closure
52,53.jpg,several empty translucent closed cylindrical plastic bottle with a twist finish and screw closure,several empty transparent closed cylindrical plastic bottle with a twist finish and screw closure
53,54.jpg,one empty transparent closed cylindrical plastic bottle with a twist finish and screw closure,one empty transparent closed cylindrical plastic bottle with a twist finish and screw closure
54,55.jpg,one full translucent closed cylindrical plastic bottle with a twist finish and screw closure,one full transparent closed cylindrical plastic bottle with a twist finish and screw closure
55,56.jpg,one full opaque closed cylindrical metal bottle with a twist finish handle and screw closure,"one full opaque closed cylindrical plastic bottle with a snap finish, handle and flip-top closure"
56,57.jpg,one empty transparent closed cylindrical plastic bottle with a twist finish and screw closure,one empty transparent closed cylindrical plastic bottle with a twist finish and screw closure
57,58.jpg,one full opaque closed cylindrical plastic bottle with a twist finish and screw closure,one full opaque closed cylindrical plastic bottle with a twist finish and screw closure
58,59.jpg,one empty transparent closed cylindrical plastic bottle with a twist finish and flip-top closure,one empty transparent closed cylindrical plastic bottle with a twist finish and screw closure
59,60.jpg,one full transparent closed cylindrical plastic bottle with a twist finish and screw closure,one empty transparent closed cylindrical plastic bottle with a twist finish and screw closure
60,61.jpg,one full transparent closed cylindrical plastic bottle with a twist finish and screw closure,one empty transparent closed cylindrical plastic bottle with a twist finish and screw closure
61,62.jpg,one full opaque closed cylindrical plastic bottle with a twist finish and screw closure,one full opaque closed cylindrical plastic bottle with a twist finish and screw closure
62,63.jpg,several full transparent closed cylindrical plastic bottle with a twist finish and screw closure,several empty transparent closed cylindrical plastic bottle with a twist finish and screw closure
63,64.jpg,one empty transparent closed cylindrical plastic bottle with a twist finish and screw closure,one empty transparent closed cylindrical plastic bottle with a twist finish and screw closure
64,65.jpg,one full transparent closed cylindrical plastic bottle with a twist finish and screw closure,one full transparent closed cylindrical plastic bottle with a twist finish and screw closure
65,66.jpg,one empty transparent closed cylindrical plastic bottle with a twist finish and screw closure,one empty transparent closed cylindrical plastic bottle with a twist finish and screw closure
66,67.jpg,several full transparent closed cylindrical plastic bottle with a twist finish and screw closure,several full transparent closed cylindrical plastic bottle with a twist finish and screw closure
67,68.jpg,several empty transparent closed cylindrical plastic bottle with a twist finish and screw closure,two empty transparent closed cylindrical plastic bottle with a twist finish and screw closure
68,69.jpg,one empty transparent closed cylindrical plastic bottle with a twist finish handle and screw closure,one empty translucent closed cylindrical plastic bottle with a twist finish and flip-top closure
69,70.jpg,one empty transparent closed cylindrical plastic bottle with a twist finish and screw closure,one empty transparent closed cylindrical plastic bottle with a twist finish and screw closure
70,71.jpg,one empty transparent closed cylindrical plastic bottle with a twist finish and screw closure,one empty transparent closed cylindrical glass bottle with a twist finish and screw closure
71,72.jpg,one full opaque closed cylindrical plastic bottle with a twist finish and screw closure,one full opaque closed cylindrical plastic bottle with a twist finish and screw closure
72,73.jpg,one full transparent closed cylindrical plastic bottle with a twist finish and screw closure,one empty transparent closed cylindrical plastic bottle with a twist finish and screw closure
73,74.jpg,one empty transparent open cylindrical plastic bottle with a twist finish and no closure,one empty transparent open cylindrical glass bottle with a twist finish and no closure
74,75.jpg,one empty transparent open cylindrical plastic bottle with a twist finish and no closure,one empty transparent open cylindrical plastic bottle with a twist finish and no closure
75,76.jpg,one empty transparent open cylindrical plastic bottle with a twist finish and no closure,one empty transparent open cylindrical plastic bottle with a twist finish and no closure
76,77.jpg,one full opaque closed cylindrical plastic bottle with a twist finish and screw closure,one full opaque closed cylindrical plastic bottle with a twist finish and screw closure
77,78.jpg,one full transparent closed rectangular plastic bottle with a twist finish and screw closure,one empty transparent closed cylindrical plastic bottle with a twist finish and screw closure
78,79.jpg,one empty transparent open cylindrical plastic bottle with a twist finish and no closure,one empty transparent open cylindrical plastic bottle with a twist finish and no closure
79,80.jpg,one full transparent closed cylindrical plastic bottle with a twist finish and screw closure,one full transparent closed cylindrical plastic bottle with a twist finish and screw closure
80,81.jpg,one empty transparent closed cylindrical plastic bottle with a twist finish and screw closure,one empty transparent closed cylindrical plastic bottle with a twist finish and screw closure
81,82.jpg,one empty transparent closed cylindrical plastic bottle with a twist finish and screw closure,one empty transparent open cylindrical plastic bottle with a twist finish and no closure
82,83.jpg,one full opaque closed cylindrical plastic bottle with a twist finish and screw closure,one full opaque closed cylindrical plastic bottle with a twist finish and screw closure
83,84.jpg,one empty transparent closed cylindrical plastic bottle with a twist finish and screw closure,one empty transparent closed cylindrical glass bottle with a twist finish and screw closure
84,85.jpg,one full transparent closed cylindrical plastic bottle with a twist finish and screw closure,one full transparent closed cylindrical plastic bottle with a twist finish and screw closure
85,86.jpg,one empty transparent open cylindrical plastic bottle with a twist finish and no closure,one empty transparent open cylindrical plastic bottle with a twist finish and no closure
86,87.jpg,one empty transparent open cylindrical plastic bottle with a twist finish and no closure,one empty transparent open cylindrical plastic bottle with a twist finish and no closure
87,88.jpg,one empty transparent closed cylindrical plastic bottle with a twist finish and screw closure,one full transparent closed cylindrical plastic bottle with a twist finish and screw closure
88,89.jpg,one empty transparent closed rectangular plastic bottle with a twist finish and screw closure,one empty transparent closed cylindrical plastic bottle with a twist finish and screw closure
89,90.jpg,one full transparent closed cylindrical plastic bottle with a twist finish and push-pull closure,one full transparent closed cylindrical plastic bottle with a twist finish and screw closure
