,object_id,true_caption
0,BigBottle,"one full transparent closed cylindrical glass bottle with a snap finish and snap closure"
1,Bottle,"one full opaque closed cylindrical plastic bottle with a snap finish and snap closure"
2,BrandyBottle,"one full translucent closed cylindrical glass bottle with a snap finish and snap closure"
3,CeramicBottle,"one full opaque closed cylindrical plastic jar with a snap finish and snap closure"
4,CorkGlassBottle1,"one full transparent closed cylindrical glass bottle with a snap finish and snap closure"
5,CorkGlassBottle2,"one full transparent closed complex-shaped glass botlle with a snap finish and snap closure"
6,CorkGlassBottle3,"one full transparent closed cylindrical glass bottle with a snap finish and snap closure"
7,CorkGlassBottle4,"one full transparent closed rectangular glass bottle with a snap finish and snap closure"
8,CorkGlassBottle5,"one full transparent closed oval glass bottle with a snap finish and snap closure"
9,CystalJar,"one full transparent closed cylindrical glass jar with a snap finish and snap closure"
10,DarkBottle,"one full opaque closed cylindrical glass bottle with a snap finish and snap closure"
11,EmptyJar,"one empty transparent closed cylindrical glass jar with a snap finish and snap closure"
12,FairyBottle,"one full transparent closed cylindrical glass bottle with a snap finish and snap closure"
13,GlassBottle,"one empty transparent closed cylindrical glass bottle with a snap finish and snap closure"
14,GlassJar,"one full transparent closed cylindrical glass jar with a snap finish and snap closure"
15,HeartGlassJar,"one full transparent closed oval glass jar with a snap finish and snap closure"
16,LiquorBottle,"one full opaque closed cylindrical plastic bottle with a snap finish, handle and snap closure"
17,PerfumeBottle,"one full opaque closed cylindrical plastic bottle with a snap finish and snap closure"
18,PoisonBottle,"one full transparent closed cylindrical glass bottle with a snap finish and snap closure"
19,PotionBottle,"one full transparent closed cylindrical glass bottle with a snap finish and snap closure"
20,SmallBottle,"one empty transparent closed oval glass bottle with a snap finish and snap closure"
21,SnakeOilBottle,"one full opaque closed rectangular plastic bottle with a snap finish and snap closure"
22,VintageGlassBottle,"one full translucent closed cylindrical glass  bottle with a snap finish and snap closure"
23,WhiskeyBottle,"one full opaque closed rectangular plastic bottle with a snap finish and snap closure"
24,WineBottle,"one full translucent closed cylindrical glass bottle with a snap finish and snap closure"
25,BigJar,"one empty transparent closed cylindrical plastic jar with a twist finish and screw closure"
26,BodyLotionJar,"one full opaque closed cylindrical plastic jar with a twist finish and screw closure"
27,BourbonBottle,"one full opaque closed rectangular plastic bottle with a twist finish and screw closure"
28,DreamJar,"one empty transparent closed cylindrical plastic jar with a twist finish and screw closure"
29,EmptyWaterJug,"one empty transparent closed cylindrical plastic bottle with a twist finish and screw closure"
30,FrenchBottle,"one full opaque closed cylindrical plastic bottle with a twist finish and screw closure"
31,GlassJar,"one empty transparent closed cylindrical glass jar with a twist finish and screw closure"
32,GooeyJar,"one full transparent closed cylindrical glass jar with a twist finish and screw closure"
33,HeartJar,"one full transparent closed cylindrical glass jar with a twist finish and screw closure"
34,MasonJar,"one empty transparent closed cylindrical glass jar with a twist finish and screw closure"
35,MedicineBottle1,"one empty transparent closed cylindrical plastic bottle with a twist finish and screw closure"
36,MedicineBottle,"one full opaque closed cylindrical plastic bottle with a twist finish and screw closure"
37,MedicinePlasticBottle,"one full translucent closed cylindrical plastic bottle with a twist finish and screw closure"
38,MilkBottle,"one full transparent closed cylindrical glass bottle with a twist finish and screw closure"
39,PeanutButterJar,"one full transparent closed cylindrical glass jar with a twist finish and screw closure"
40,PickleJar,"one full transparent closed cylindrical glass jar with a twist finish and screw closure"
41,PillBottle1,"one full opaque closed cylindrical plastic bottle with a twist finish and screw closure"
42,PillBottle,"one full translucent closed cylindrical plastic bottle with a twist finish and screw closure"
43,PlasticBottle,"one full opaque closed cylindrical plastic bottle with a twist finish and screw closure"
44,PlasticEmptyBottle,"one empty transparent closed cylindrical plastic bottle with a twist finish and screw closure"
45,ProteinJar,"one full opaque closed cylindrical plastic jar with a twist finish and screw closure"
46,SoapBottle,"one full opaque closed rectangular plastic bottle with a twist finish and screw closure"
47,TransparentWaterBottle,"one full transparent closed cylindrical plastic bottle with a twist finish and screw closure"
48,WaterBottle,"one full transparent closed cylindrical plastic bottle with a twist finish and screw closure"
49,WheyProteinJar,"one full opaque closed cylindrical plastic jar with a twist finish and screw closure"
